Agency,# Employees,%Female,%Male,%White,%Black,%Hispanic,%Asian,%SOR,check gender,check eth/race
DCAS,2468,39,61,28,34,24,11,3,100,100
DOITT,1576,38,62,35,27,15,19,4,100,100
MAYORALTY,1271,59,41,44,20,15,17,4,100,100
BOE,833,47,53,31,32,16,4,17,100,100
NYCERS,444,61,39,32,35,10,21,2,100,100
TRS,349,58,42,37,28,11,20,3,100,99
OPA,152,61,39,26,34,21,18,1,100,100
NYCPPF,144,53,47,38,22,17,20,3,100,100
DORIS,73,56,44,41,22,18,15,4,100,100
CLERK,75,68,32,21,17,43,17,1,100,99
FDNYPF,36,69,31,42,22,6,31,0,100,101
OCB,17,71,29,53,18,18,6,6,100,101
DOF,2102,53,47,29,38,13,17,2,100,99
COMPTROLLER,784,57,43,36,26,14,21,3,100,100
TLC,632,39,60,22,31,27,16,3,99,99
FISA,436,34,66,36,13,8,41,2,100,100
DCA,416,58,42,29,24,26,18,4,100,101
SBS,301,57,43,29,33,19,17,2,100,100
BIC,80,49,51,45,16,21,15,3,100,100
NYCTAX,49,51,49,51,18,10,20,0,100,99
ACTUARY,51,45,55,51,10,6,31,2,100,100
IBO,36,47,53,67,11,8,11,3,100,100
MWFA,13,62,38,31,0,23,31,15,100,100
COUNCIL,867,52,48,44,21,22,9,5,100,101
BP-BK,124,64,36,31,41,15,2,10,100,99
CFB,115,49,51,42,18,12,23,5,100,100
BP-QNS,109,67,33,55,14,12,10,9,100,100
BP-MAN,94,52,48,34,28,26,7,5,100,100
BP-BX,93,58,42,24,19,45,0,12,100,100
PA,52,52,48,27,31,17,6,19,100,100
BP-SI,53,62,38,77,9,6,0,8,100,100
PUBADMIN,47,60,40,36,23,30,4,6,100,99
NYCHA,10962,40,60,17,50,24,5,4,100,100
PARKS,7267,34,66,35,30,25,6,3,100,99
HPD,2441,51,49,26,39,20,12,2,100,99
LPC,83,71,29,70,8,7,6,8,100,99
DCLA,74,58,42,43,16,19,14,8,100,100
DOE,174105,77,23,44,22,22,7,4,100,99
SCA,827,35,65,41,20,14,23,1,100,99
NYCHH,38731,69,31,16,44,19,21,0,100,100
HRA,13018,71,29,14,57,18,9,2,100,100
DOHMH,7150,71,28,24,40,17,16,3,99,100
ACS,7366,72,28,13,62,18,5,3,100,101
DHS,2438,50,50,9,64,20,4,2,100,99
DYCD,574,64,36,18,43,22,11,5,100,99
DFTA,326,73,27,28,33,18,17,3,100,99
DSNY,10134,9,91,52,21,21,4,1,100,99
DEP,6216,25,75,49,21,13,15,2,100,100
DOT,5716,25,75,42,30,16,11,2,100,101
DOB,1657,36,64,35,31,14,16,4,100,100
DDC,1340,37,63,32,23,14,29,3,100,101
DCP,334,49,51,50,15,13,19,3,100,100
LAW,1903,63,37,47,28,13,9,4,100,101
DA-MAN,1472,56,44,55,16,18,8,3,100,100
DA-BK,1140,56,44,42,28,19,6,5,100,100
DA-BX,1082,59,41,36,26,29,5,3,100,99
DA-QNS,710,57,43,53,14,17,8,8,100,100
OATH,717,61,38,48,29,13,7,3,99,100
DA-NARC,215,52,48,48,19,15,9,8,100,99
CCRB,203,49,51,40,24,19,8,8,100,99
DA-SI,170,56,44,72,8,12,3,5,100,100
CCHR,139,59,40,27,26,20,17,9,99,99
BOC,30,70,30,33,37,20,7,3,100,100
COIB,25,56,44,48,4,12,24,12,100,100
NYCCSC,15,67,33,40,40,13,7,0,100,100
EEPC,12,67,33,17,42,8,25,8,100,100
NYPD,55960,35,65,37,26,26,10,2,100,101
FDNY,17746,11,89,65,13,17,1,4,100,100
DOC,12296,43,57,13,58,22,5,2,100,100
DOP,1166,69,31,13,64,18,3,2,100,100
DOI,367,54,46,42,23,17,13,4,100,99
NYCEM,202,46,53,55,16,13,9,7,99,100
