"agency","x_employees","x_female","x_male","x_white","x_black","x_hispanic","x_asian","x_sor","check_gender","check_eth_race","d1","d2","d4","d3","d5","d3_norm","d4_norm","d3_gender","d3_race","d4_gender","d4_race","d3_gender_norm","d3_race_norm","d3_norm_high","d3_gender_norm_high","d3_race_norm_high","d3_gender_race_norm_high"
"DCAS",2480,39,61,27,34,25,11,3,100,100,47.2002817750156,1.68559630042671,-1.5,21.4496891112329,0.399093682545052,20.079047059165,0,14.3025390212859,15.9851975437633,0.10258363495493,0.296510047590122,25,19.1978346539959,FALSE,FALSE,FALSE,FALSE
"DOITT",1698,39,61,35,27,15,19,4,100,100,44.4971580108836,1.70950771408041,1.5,20.3484561685846,0.434613803557671,17.900492015912,100,14.3025390212859,14.4740127811675,0.10258363495493,0.33203016860274,25,15.8073570793445,FALSE,FALSE,FALSE,FALSE
"MAYORALTY",1332,59,41,43,20,16,17,4,100,100,43.0700315755951,1.46737977312394,0.5,19.9631922230903,0.37843245622338,17.1383292809127,66.6666666666667,13.981732226176,14.2492177922707,0.0995208991104856,0.278911557112894,24.4328883493175,15.3030095054321,FALSE,FALSE,FALSE,FALSE
"BOE",920,47,53,31,31,17,4,17,100,100,52.6707929340995,6.00355887373075,-0.5,23.1260185951887,0.88823976415633,23.3953082333387,33.3333333333333,2.98883052230118,22.9320655016938,0.0211661958688679,0.867073568287462,5,34.7837514845566,FALSE,FALSE,FALSE,FALSE
"NYCERS",476,61,39,31,35,10,22,3,100,101,66.5449310302997,2.50223836426643,-0.5,29.2066767303023,0.630112510827405,35.4245964370605,33.3333333333333,16.8101593509222,23.8840638967698,0.120094115054485,0.51001839577292,29.4328883493175,36.919644652289,FALSE,FALSE,FALSE,FALSE
"TRS",339,59,41,35,28,14,21,2,100,100,48.5729575312538,2.08519490303742,0.5,21.6075284873753,0.550028028343706,20.3912986778751,66.6666666666667,13.981732226176,16.474114582831,0.0995208991104856,0.45050712923322,24.4328883493175,20.2947635655718,FALSE,FALSE,FALSE,FALSE
"OPA",150,61,39,25,33,21,18,2,100,99,56.5449310302996,2.20569177865643,-0.5,24.0681868879658,0.552472529087214,25.2591877145378,33.3333333333333,16.8101593509222,17.2248704689078,0.120094115054485,0.432378414032728,29.4328883493175,21.9791512452151,FALSE,FALSE,FALSE,FALSE
"NYCPPF",144,53,47,35,24,17,22,3,100,101,29.5729575312538,1.30175268505223,0.5,14.1482007506298,0.31877524946326,5.63460603745731,66.6666666666667,5.49645085193739,13.0368942817052,0.0388831440646887,0.279892105398571,9.43288834931753,12.583053761083,FALSE,FALSE,FALSE,FALSE
"DORIS",78,54,46,41,24,14,18,3,100,100,36.5729575312538,1.35234964376671,0.5,16.9264184018301,0.364146681759385,11.1307184773209,66.6666666666667,6.91066441431049,15.451419263828,0.0489131902036075,0.315233491555777,11.9328883493175,18.0002555539738,FALSE,FALSE,FALSE,FALSE
"CLERK",71,70,30,21,11,45,21,1,100,99,91.3011805649464,3.4808817779631,-0.5,38.8600524679874,0.968474531264939,54.5217461710441,33.3333333333333,29.53808141228,25.2508499717584,0.216785445756293,0.751689085508646,51.9328883493175,39.9861509136641,FALSE,FALSE,FALSE,FALSE
"FDNYPF",37,73,27,46,16,3,0,35,100,100,134.271692999765,13.1196927499487,-0.5,55.6497608978936,1.69960689031879,87.7366115806792,33.3333333333333,33.7807220993993,44.2239607275952,0.251146949082936,1.44845994123585,59.4328883493175,82.5540143088369,TRUE,FALSE,TRUE,TRUE
"OCB",15,73,27,60,13,20,0,7,100,100,106.271692999765,4.46893259684228,-0.5,46.115055114866,1.25588996842447,68.8742250999451,33.3333333333333,33.7807220993993,31.3920550886731,0.251146949082936,1.00474301934154,59.4328883493175,53.7644914221196,FALSE,FALSE,FALSE,FALSE
"DOF",2156,53,47,28,38,13,19,3,100,101,50.5449310302996,2.09935084955551,-0.5,24.4395121934705,0.502894249596978,25.9937758163514,33.3333333333333,5.49645085193739,23.8134160566482,0.0388831440646887,0.46401110553229,9.43288834931753,36.761139932311,FALSE,FALSE,FALSE,FALSE
"COMPTROLLER",782,57,43,35,25,15,21,4,100,100,40.0434686903377,1.65988661171424,1.5,18.2631613801432,0.416631519696322,13.775180011439,100,11.1533051014298,14.4619102787832,0.0791616348591021,0.33746988483722,19.4328883493175,15.7802040376075,FALSE,FALSE,FALSE,FALSE
"TLC",666,39,61,22,33,26,15,3,100,99,46.9986203508456,1.52570186064292,-0.5,22.7573863679848,0.368329872961189,22.666047813877,33.3333333333333,14.3025390212859,17.7012997219507,0.10258363495493,0.265746238006259,25,23.0480626968996,FALSE,FALSE,FALSE,FALSE
"FISA",433,35,65,35,14,7,42,2,100,100,84.0532097370571,3.90311012331512,-0.5,39.9850348876445,0.899932104323821,56.7472845008557,33.3333333333333,19.9593932707783,34.6471591220486,0.144788442518657,0.755143661805164,35,61.067607163811,FALSE,FALSE,FALSE,FALSE
"DCA",407,59,41,28,24,27,19,3,100,101,34.5449310302996,1.14100582143402,-0.5,16.405947513526,0.278425596351443,10.1010775769548,33.3333333333333,13.981732226176,8.58290613790471,0.0995208991104856,0.178904697240957,24.4328883493175,2.59013476593661,FALSE,FALSE,FALSE,FALSE
"SBS",312,60,40,30,32,18,17,3,100,100,49.5449310302996,1.70770960361466,-0.5,21.871925324939,0.414217870278319,20.9143515594112,33.3333333333333,15.3959457885491,15.5353136658314,0.109777528102399,0.30444034217592,26.9328883493175,18.1884801150412,FALSE,FALSE,FALSE,FALSE
"BIC",85,51,49,44,16,20,16,4,100,100,27.0700315755951,1.15537253938079,0.5,13.0924880891346,0.290432972093207,3.54610318410514,66.6666666666667,2.6680237271912,12.8177569705185,0.0188658009687805,0.271567171124426,4.43288834931753,12.0913996908873,FALSE,FALSE,FALSE,FALSE
"NYCTAX",52,52,48,50,17,10,23,0,100,100,53.5995204165112,2.94335954549406,-0.5,25.3872135151661,1.0099126601138,27.8686012178804,33.3333333333333,4.0822372895643,25.056854327236,0.0288693556594621,0.981043304454337,6.93288834931753,39.5509044113082,FALSE,FALSE,FALSE,FALSE
"ACTUARY",44,43,57,48,9,7,34,2,100,100,78.0532097370571,3.65580468404993,-0.5,34.2532327048678,0.953110280047563,45.4081335650082,33.3333333333333,8.64568477179356,33.1441712154732,0.0615168464432114,0.891593433604352,15,57.6955199655104,FALSE,FALSE,FALSE,FALSE
"IBO",38,49,51,61,11,8,13,8,100,101,61.725382320311,3.50237552112795,-0.5,34.4188999978777,0.802400501927259,45.735871051521,33.3333333333333,0.160403397554989,34.4185262295461,0.00113462713505282,0.801265874792206,0,60.5546489114224,FALSE,FALSE,FALSE,FALSE
"MWFA",12,58,42,33,8,25,25,8,100,99,49.0420050746409,3.25001210677091,-0.5,21.2569319460177,0.681713677651705,19.6977180250072,33.3333333333333,12.5675186638029,17.1439385904346,0.0893177313615172,0.592395946290188,21.9328883493175,21.7975733694783,FALSE,FALSE,FALSE,FALSE
"COUNCIL",823,53,47,42,22,23,10,4,100,101,26.2451301145076,1.13858322441393,0.5,11.2999762788589,0.290842799424481,0,66.6666666666667,5.49645085193739,9.8731196657901,0.0388831440646887,0.251959655359792,9.43288834931753,5.48484369966975,FALSE,FALSE,FALSE,FALSE
"BP-BK",120,65,35,30,40,18,3,9,100,100,82.2171036135535,4.60361095301498,-0.5,33.9933301491308,1.02245101678394,44.8939716637181,33.3333333333333,22.4670136004145,25.5103860124968,0.162094516128898,0.86035650065504,39.4328883493175,40.5684431308155,FALSE,FALSE,FALSE,FALSE
"CFB",113,52,48,41,15,13,25,6,100,100,45.0700315755951,2.64411875590073,0.5,20.1226315719613,0.604650027141788,17.4537461052047,66.6666666666667,4.0822372895643,19.7042036147768,0.0288693556594621,0.575780671482325,6.93288834931753,27.5417559241556,FALSE,FALSE,FALSE,FALSE
