"agency","x_employees","x_female","x_male","x_white","x_black","x_hispanic","x_asian","x_sor","check_gender","check_eth_race","d1","d2","d4","d3","d5","d3_norm","d4_norm","d3_gender","d3_race","d4_gender","d4_race","d3_gender_norm","d3_race_norm","d3_norm_high","d3_gender_norm_high","d3_race_norm_high","d3_gender_race_norm_high"
"DCAS",2298,39,61,26,34,25,12,3,100,100,47.9368027752685,1.79170353094362,-1.5,21.8786294384801,0.42475226044697,22.6428236307202,0,14.3252436021833,16.5366811012498,0.102742506594418,0.322009753852552,23.5843110767982,20.7554857164242,FALSE,FALSE,FALSE,FALSE
"DOITT",1673,38,62,35,26,15,20,4,100,100,46.2683133687191,1.6261770466082,1.5,21.3088604553259,0.416834110604331,21.5251606484579,100,15.7394571645564,14.3644360164138,0.11316942458188,0.30366468602245,26.1315007075716,15.935287643634,FALSE,FALSE,FALSE,FALSE
"MAYORALTY",1243,59,41,42,20,16,18,4,100,100,42.0725568069446,1.32521055476509,0.5,19.6228538786967,0.346330466015075,18.2178778825241,66.6666666666667,13.9590276452786,13.791371996398,0.0993618978987054,0.24696856811637,22.9247066769605,14.6636622160298,FALSE,FALSE,FALSE,FALSE
"BOE",946,48,52,31,31,18,4,16,100,100,48.4696272381126,5.02810186909947,-0.5,21.8689170628514,0.840343845515184,22.6237717640323,33.3333333333333,1.59732154082544,21.8105042902976,0.011304083387486,0.829039762127698,0.659604399837658,32.4580659407012,FALSE,FALSE,FALSE,FALSE
"NYCERS",484,61,39,30,35,11,22,2,100,100,67.9354985273758,2.88719944594681,-0.5,28.8591559587266,0.748820619004576,36.3358752341791,33.3333333333333,16.7874547700248,23.474076020037,0.119935848457789,0.628884770546787,28.0190859385073,36.1495210631528,FALSE,FALSE,FALSE,FALSE
"TRS",341,59,41,35,28,13,22,2,100,100,51.217581332863,2.27770216447472,0.5,22.5506862365162,0.610356456101299,23.9611351347698,66.6666666666667,13.9590276452786,17.7109852051248,0.0993618978987054,0.510994558202594,22.9247066769605,23.3612590786851,FALSE,FALSE,FALSE,FALSE
"OPA",146,61,39,27,33,20,18,2,100,100,55.9354985273758,2.27069713668524,-0.5,23.7381188537703,0.576103638469119,26.2904115950096,33.3333333333333,16.7874547700248,16.7833146029053,0.119935848457789,0.45616779001133,28.0190859385073,21.30276389312,FALSE,FALSE,FALSE,FALSE
"NYCPPF",147,55,45,34,28,17,19,2,100,100,35.9354985273758,1.7578169309342,-0.5,15.866182556625,0.470770612029582,10.8487640884338,33.3333333333333,8.30217339578622,13.5207124748088,0.0588055096297518,0.41196510239983,12.735948153867,14.0630704534088,FALSE,FALSE,FALSE,FALSE
"DORIS",62,56,44,39,21,15,23,3,100,101,40.217581332863,1.652814705836,0.5,18.1521698256981,0.41748439497108,15.3329733453543,66.6666666666667,9.71638695815932,15.3327458030288,0.0688864819631795,0.348597913007901,15.2831377846404,18.0839609217498,FALSE,FALSE,FALSE,FALSE
"CLERK",68,71,29,22,9,47,22,0,100,100,98.2482899564004,4.021187068201,-0.5,41.2357669612547,1.26282543692859,60.6139254130602,33.3333333333333,30.9295903937557,27.2717603934436,0.227941318468119,1.03488411846047,53.4909822462413,44.5765586131731,FALSE,FALSE,FALSE,FALSE
"FDNYPF",46,70,30,39,26,7,28,0,100,100,89.217581332863,3.89992271211231,0.5,38.9448228677112,1.2607540924624,56.119992813199,66.6666666666667,29.5153768313827,25.4075138236483,0.216632617621866,1.04412147484053,50.9437926154679,40.4398072927707,FALSE,FALSE,FALSE,FALSE
"OCB",16,69,31,62,12,19,0,6,100,99,100.555953481825,3.90778560377003,-0.5,43.6673206544792,1.17918457903946,65.3836788265502,33.3333333333333,28.1011632690096,33.4239362743165,0.205458188321147,0.973726390718314,48.3966029846945,58.2281978924901,FALSE,FALSE,FALSE,FALSE
"DOF",2036,52,48,28,38,12,19,2,100,99,50.9354985273758,2.49356586909324,-0.5,24.9283425563144,0.639677905916052,28.6251630684588,33.3333333333333,4.05953270866694,24.5955779926437,0.0287088935128417,0.61096901240321,5.09437926154679,38.6381268308566,FALSE,FALSE,FALSE,FALSE
"COMPTROLLER",798,57,42,34,25,15,22,5,99,101,42.4683229902199,1.861135180535,0.5,19.0413874376226,0.455210947485837,17.0772690817103,66.6666666666667,11.8588074510539,14.8977555822507,0.0848372903121327,0.370373657173705,19.1419264495575,17.1187203793661,FALSE,FALSE,FALSE,FALSE
"TLC",594,40,60,22,34,25,15,3,100,99,47.4534061003879,1.69964867607212,-0.5,22.7063426664605,0.40787734218025,24.2664719201047,33.3333333333333,12.9110300398102,18.6784180432349,0.0923864840559099,0.315490858124341,21.0371214460248,25.5079864136278,FALSE,FALSE,FALSE,FALSE
"FISA",425,34,66,35,13,7,42,2,100,99,87.0576399171126,4.03338192905872,-0.5,40.6903136904514,0.953842923455373,59.543960309035,33.3333333333333,21.3963114140488,34.6106845656132,0.155726985521608,0.798115937933764,36.3202592306652,60.8615848277527,FALSE,FALSE,FALSE,FALSE
"DCA",388,60,40,28,23,27,19,3,100,100,35.9354985273758,1.24635680163466,-0.5,17.4213575222791,0.311110239482318,13.899406614516,33.3333333333333,15.3732412076517,8.19555688714502,0.109618875326163,0.201491364156155,25.4718963077339,2.24658396201309,FALSE,FALSE,FALSE,FALSE
"SBS",283,59,41,30,32,18,17,2,100,99,48.9354985273758,2.05998532612714,-0.5,21.0524254452724,0.533503580046247,21.0221358672452,33.3333333333333,13.9590276452786,15.7591295548676,0.0993618978987054,0.434141682147542,22.9247066769605,19.0301037641158,FALSE,FALSE,FALSE,FALSE
"BIC",82,51,49,43,17,20,17,4,100,101,25.0725568069446,0.967062338056126,0.5,12.0786650385714,0.244395555897194,3.41914217190807,66.6666666666667,2.64531914629385,11.7854332007041,0.0187052624254691,0.225690293471725,2.54718963077339,10.2124967445844,FALSE,FALSE,FALSE,FALSE
"NYCTAX",51,51,49,53,14,10,24,0,100,101,58.5397323441005,3.18070298869549,-0.5,27.9510277351152,1.06482577876729,34.5544843043688,33.3333333333333,2.64531914629385,27.8255680636251,0.0187052624254691,1.04612051634182,2.54718963077339,45.8054543225663,FALSE,FALSE,FALSE,FALSE
"ACTUARY",43,44,56,49,7,7,35,2,100,100,80.0576399171126,3.86348316224681,-0.5,35.4088745170702,1.03059479364791,49.1838508055639,33.3333333333333,7.25417579031782,34.6578321331382,0.051538049594134,0.979056744053772,10.8483629229312,60.9662049812092,FALSE,FALSE,FALSE,FALSE
"IBO",38,47,50,61,11,8,13,8,97,101,63.8149072683312,3.25483874298099,-1.5,34.3711581729535,0.786728698310507,47.1482588758536,0,2.30053957111781,34.2940815860683,0.0153911389807623,0.771337559329744,1.9261950496458,60.159044823176,FALSE,FALSE,FALSE,FALSE
"MWFA",11,73,27,45,0,27,27,0,100,99,94.5397323441005,4.0965251401757,-0.5,42.7025775994152,1.46491915800661,63.4912318315057,33.3333333333333,33.7580175185019,26.1516039059672,0.25099689402772,1.21392226397889,58.585361507788,42.090938468444,FALSE,FALSE,FALSE,FALSE
